ptr,type,size,name,desc,value,parent
18558c7a978,none,3384,<global state>,global state and string table,(null),0
18558c7aef0,table,344,registry,registry table,(null),0
18558c7a8a8,thread,960,[1],array item,(null),18558c7aef0
18558c74c10,table,2104,[2],array item,(null),18558c7aef0
18558c88cd0,string,32,<key>,key,global1,18558c74c10
18558c85c50,table,184,global1,value,(null),18558c74c10
18558c88bb0,string,29,<key>,key,key2,18558c85c50
18558c89630,string,31,key2,value,value2,18558c85c50
18558c895d0,string,30,[1],value,item1,18558c85c50
18558c88af0,string,30,[2],value,item2,18558c85c50
18558c89990,string,29,<key>,key,key1,18558c85c50
18558c88b50,string,31,key1,value,value1,18558c85c50
18558c82370,string,29,<key>,key,next,18558c74c10
18558c81b90,string,34,<key>,key,coroutine,18558c74c10
18558c83ef0,table,312,coroutine,value,(null),18558c74c10
18558c84460,string,31,<key>,key,resume,18558c83ef0
18558c85000,string,31,<key>,key,create,18558c83ef0
18558c84940,string,31,<key>,key,status,18558c83ef0
18558c84280,string,29,<key>,key,wrap,18558c83ef0
18558c84a00,string,30,<key>,key,yield,18558c83ef0
18558c84d60,string,32,<key>,key,running,18558c83ef0
18558c84820,string,36,<key>,key,isyieldable,18558c83ef0
18558c82190,string,31,<key>,key,ipairs,18558c74c10
18558c82250,string,31,<key>,key,assert,18558c74c10
18558c82490,string,31,<key>,key,rawset,18558c74c10
18558c82130,string,29,<key>,key,load,18558c74c10
18558c824f0,string,31,<key>,key,select,18558c74c10
18558c82670,string,32,<key>,key,package,18558c74c10
18558c831d0,table,312,package,value,(null),18558c74c10
18558c81bf0,string,30,<key>,key,cpath,18558c831d0
18558c83cf0,string,248,cpath,value,?.dll;..\lib\lua\5.3\?.dll;loadall.dll;.\?.dll,18558c831d0
18558c81770,string,29,<key>,key,path,18558c831d0
18558c83a30,string,492,path,value,lua\?.lua;lua\?\init.lua;?.lua;?\init.lua;..\share\lua\5.3\?.lua;..\share\lua\5.3\?\init.lua;.\?.lua;.\?\init.lua,18558c831d0
18558c81e30,string,31,<key>,key,loaded,18558c831d0
18558c82730,table,568,loaded,value,(null),18558c831d0
18558c84100,string,30,<key>,key,table,18558c82730
18558c83150,table,312,table,value,(null),18558c82730
18558c846a0,string,31,<key>,key,concat,18558c83150
18558c84b20,string,29,<key>,key,pack,18558c83150
18558c847c0,string,31,<key>,key,remove,18558c83150
18558c84ee0,string,29,<key>,key,sort,18558c83150
18558c84520,string,31,<key>,key,insert,18558c83150
18558c84400,string,31,<key>,key,unpack,18558c83150
18558c84dc0,string,29,<key>,key,move,18558c83150
18558c82670,string,0,<key>,key,(null),18558c82730
18558c831d0,table,0,package,value,(null),18558c82730
18558c88040,string,31,<key>,key,string,18558c82730
18558c85b50,table,1080,string,value,(null),18558c82730
18558c88100,string,31,<key>,key,gmatch,18558c85b50
18558c87c20,string,29,<key>,key,byte,18558c85b50
18558c879e0,string,29,<key>,key,gsub,18558c85b50
18558c87c80,string,33,<key>,key,packsize,18558c85b50
18558c87bc0,string,30,<key>,key,upper,18558c85b50
18558c87500,string,28,<key>,key,len,18558c85b50
18558c84b20,string,0,<key>,key,(null),18558c85b50
18558c87b00,string,32,<key>,key,reverse,18558c85b50
18558c84400,string,0,<key>,key,(null),18558c85b50
18558c87f20,string,31,<key>,key,format,18558c85b50
18558c87800,string,29,<key>,key,char,18558c85b50
18558c88160,string,29,<key>,key,dump,18558c85b50
18558c87980,string,28,<key>,key,sub,18558c85b50
18558c87260,string,28,<key>,key,rep,18558c85b50
18558c87860,string,30,<key>,key,match,18558c85b50
18558c87ec0,string,29,<key>,key,find,18558c85b50
18558c87920,string,30,<key>,key,lower,18558c85b50
18558c84760,string,27,<key>,key,os,18558c82730
18558c85750,table,568,os,value,(null),18558c82730
18558c84220,string,30,<key>,key,clock,18558c85750
18558c87560,string,29,<key>,key,exit,18558c85750
18558c847c0,string,0,<key>,key,(null),18558c85750
18558c843a0,string,32,<key>,key,execute,18558c85750
18558c84e80,string,29,<key>,key,date,18558c85750
18558c87e60,string,31,<key>,key,getenv,18558c85750
18558c878c0,string,29,<key>,key,time,18558c85750
18558c874a0,string,32,<key>,key,tmpname,18558c85750
18558c84340,string,33,<key>,key,difftime,18558c85750
18558c87440,string,31,<key>,key,rename,18558c85750
18558c880a0,string,34,<key>,key,setlocale,18558c85750
18558c81b90,string,0,<key>,key,(null),18558c82730
18558c83ef0,table,0,coroutine,value,(null),18558c82730
18558c88c70,string,30,<key>,key,debug,18558c82730
18558c86250,table,568,debug,value,(null),18558c82730
18558c89810,string,34,<key>,key,traceback,18558c86250
18558c89450,string,35,<key>,key,setupvalue,18558c86250
18558c88f10,string,34,<key>,key,upvalueid,18558c86250
18558c89390,string,33,<key>,key,setlocal,18558c86250
18558c896f0,string,32,<key>,key,gethook,18558c86250
18558c88eb0,string,32,<key>,key,sethook,18558c86250
18558c88fd0,string,33,<key>,key,getlocal,18558c86250
18558c88c70,string,0,<key>,key,(null),18558c86250
18558c89090,string,32,<key>,key,getinfo,18558c86250
18558c89570,string,36,<key>,key,upvaluejoin,18558c86250
18558c82d60,string,37,<key>,key,getuservalue,18558c86250
18558c82970,string,37,<key>,key,setmetatable,18558c86250
18558c893f0,string,36,<key>,key,getregistry,18558c86250
18558c89330,string,35,<key>,key,getupvalue,18558c86250
18558c82b30,string,37,<key>,key,setuservalue,18558c86250
18558c82c80,string,37,<key>,key,getmetatable,18558c86250
18558c81fb0,string,27,<key>,key,_G,18558c82730
18558c74c10,table,0,_G,value,(null),18558c82730
18558c89870,string,29,<key>,key,utf8,18558c82730
18558c861d0,table,312,utf8,value,(null),18558c82730
18558c87500,string,0,<key>,key,(null),18558c861d0
18558c87800,string,0,<key>,key,(null),18558c861d0
18558c892d0,string,36,<key>,key,charpattern,18558c861d0
18558c82a50,string,39,charpattern,value,[,18558c861d0
18558c89930,string,30,<key>,key,codes,18558c861d0
18558c897b0,string,31,<key>,key,offset,18558c861d0
18558c898d0,string,34,<key>,key,codepoint,18558c861d0
18558c875c0,string,29,<key>,key,math,18558c82730
18558c855d0,table,1080,math,value,(null),18558c82730
18558c87aa0,string,29,<key>,key,acos,18558c855d0
18558c87e00,string,29,<key>,key,fmod,18558c855d0
18558c87620,string,34,<key>,key,tointeger,18558c855d0
18558c87da0,string,30,<key>,key,floor,18558c855d0
18558c89750,string,28,<key>,key,tan,18558c855d0
